candidate_name,party_simplified
Al Gore,DEMOCRAT
Alexandria Ocasio-Cortez,DEMOCRAT
Alyson Kennedy,OTHER
Amy Klobuchar,DEMOCRAT
Andrew Cuomo,DEMOCRAT
Andrew Yang,DEMOCRAT
Andy Beshear,DEMOCRAT
Andy Cohen,OTHER
Barack Obama,DEMOCRAT
Bernard Sanders,DEMOCRAT
Bernie Sanders,DEMOCRAT
Beto O'Rourke,DEMOCRAT
Bill de Blasio,DEMOCRAT
Brock Pierce,OTHER
Charles Ballay,OTHER
Charles E. Schumer,DEMOCRAT
Chase Oliver,LIBERTARIAN
Chris Christie,REPUBLICAN
Chris Sununu,REPUBLICAN
Christopher Garrity,OTHER
Claudia De La Cruz,OTHER
Cornel West,OTHER
Cory A. Booker,DEMOCRAT
Dean Phillips,DEMOCRAT
Don Blankenship,OTHER
Donald Trump,REPUBLICAN
Donald Trump Jr.,REPUBLICAN
Elizabeth Ann Warren,DEMOCRAT
Elizabeth Warren,DEMOCRAT
Elon Reeve Musk,OTHER
Eric Swalwell,DEMOCRAT
Gary Johnson,LIBERTARIAN
Gavin Newsom,DEMOCRAT
Glenn Youngkin,REPUBLICAN
Gloria La Riva,OTHER
Gretchen Whitmer,DEMOCRAT
Hillary Rodham Clinton,DEMOCRAT
Howard Schultz,OTHER
Howie Hawkins,OTHER
J.B. Pritzker,DEMOCRAT
Jacob George Hornberger,LIBERTARIAN
Jade Simmons,OTHER
Jay Robert Inslee,DEMOCRAT
JD Vance,REPUBLICAN
Jerome Michael Segal,OTHER
Jill Stein,OTHER
Jo Jorgensen,LIBERTARIAN
Joe Biden,DEMOCRAT
Joe Manchin III,DEMOCRAT
Joel Skousen,OTHER
John Delaney,DEMOCRAT
John Wright Hickenlooper,DEMOCRAT
Joseph Kishore,OTHER
Josh Hawley,REPUBLICAN
Josh Shapiro,DEMOCRAT
Julián Castro,DEMOCRAT
Justin Amash,LIBERTARIAN
Kamala Harris,DEMOCRAT
Kanye West,OTHER
Kirsten E. Gillibrand,DEMOCRAT
Kristi Noem,REPUBLICAN
Larry Hogan,REPUBLICAN
Lars Mapstead,LIBERTARIAN
Liz Cheney,REPUBLICAN
Marco Rubio,REPUBLICAN
Marianne Williamson,DEMOCRAT
Mark Cuban,OTHER
Mark Kelly,DEMOCRAT
Matthew David McConaughey,OTHER
Megan Rapinoe,OTHER
Michael Bennet,DEMOCRAT
Michael Bloomberg,DEMOCRAT
Michelle Obama,DEMOCRAT
Mike Gravel,DEMOCRAT
Mike Pence,REPUBLICAN
Mike Pompeo,REPUBLICAN
Mitt Romney,REPUBLICAN
Nancy Pelosi,DEMOCRAT
Nikki Haley,REPUBLICAN
Oprah Winfrey,OTHER
Pete Buttigieg,DEMOCRAT
Peter Sonski,REPUBLICAN
Philip Murphy,DEMOCRAT
Randall A. Terry,REPUBLICAN
Raphael Warnock,DEMOCRAT
Rick Scott,REPUBLICAN
Robert F. Kennedy,DEMOCRAT
Robert Wells,OTHER
Ron DeSantis,REPUBLICAN
Roque De La Fuente,OTHER
Roy A. Cooper,DEMOCRAT
Seth Moulton,DEMOCRAT
Sherrod Brown,DEMOCRAT
Shiva Ayyadurai,OTHER
Steve Bullock,DEMOCRAT
Taylor Swift,OTHER
Ted Cruz,REPUBLICAN
Tim Ryan,DEMOCRAT
Tim Scott,REPUBLICAN
Tom Cotton,REPUBLICAN
Tom Steyer,DEMOCRAT
Tulsi Gabbard,OTHER
Vivek G. Ramaswamy,REPUBLICAN
Wayne Messam,DEMOCRAT
